pmid,pmc,publisher-id,doi,File,pii,manuscript
39018393,PMC466938,ado9413,10.1126/sciadv.ado9413,PMC000xxxxxx/PMC466938.xml,,
39018402,PMC466939,adr4808,10.1126/sciadv.adr4808,PMC000xxxxxx/PMC466939.xml,,
39018404,PMC466942,ado9607,10.1126/sciadv.ado9607,PMC000xxxxxx/PMC466942.xml,,
39018391,PMC466945,ado2682,10.1126/sciadv.ado2682,PMC000xxxxxx/PMC466945.xml,,
39018397,PMC466946,adk4920,10.1126/sciadv.adk4920,PMC000xxxxxx/PMC466946.xml,,
39018390,PMC466947,adk1817,10.1126/sciadv.adk1817,PMC000xxxxxx/PMC466947.xml,,
39018394,PMC466948,ado5398,10.1126/sciadv.ado5398,PMC000xxxxxx/PMC466948.xml,,
39018395,PMC466949,ado6268,10.1126/sciadv.ado6268,PMC000xxxxxx/PMC466949.xml,,
39018392,PMC466950,adn4582,10.1126/sciadv.adn4582,PMC000xxxxxx/PMC466950.xml,,
39018398,PMC466952,ado2623,10.1126/sciadv.ado2623,PMC000xxxxxx/PMC466952.xml,,
39018415,PMC466954,adn4613,10.1126/sciadv.adn4613,PMC000xxxxxx/PMC466954.xml,,
39018409,PMC466955,ado5645,10.1126/sciadv.ado5645,PMC000xxxxxx/PMC466955.xml,,
39018413,PMC466956,adp1439,10.1126/sciadv.adp1439,PMC000xxxxxx/PMC466956.xml,,
39018407,PMC466959,ado2957,10.1126/sciadv.ado2957,PMC000xxxxxx/PMC466959.xml,,
39018412,PMC466960,abq0997,10.1126/sciadv.abq0997,PMC000xxxxxx/PMC466960.xml,,
39018411,PMC466961,adn3923,10.1126/sciadv.adn3923,PMC000xxxxxx/PMC466961.xml,,
39018408,PMC466962,ado2118,10.1126/sciadv.ado2118,PMC000xxxxxx/PMC466962.xml,,
39018410,PMC466963,ado8471,10.1126/sciadv.ado8471,PMC000xxxxxx/PMC466963.xml,,
39022112,PMC466967,,10.1016/j.radcr.2024.04.063,PMC000xxxxxx/PMC466967.xml,S1930-0433(24)00362-5,
39022116,PMC466968,,10.1016/j.radcr.2023.06.050,PMC000xxxxxx/PMC466968.xml,S1930-0433(23)00421-1,
39022115,PMC466969,,10.1016/j.radcr.2023.12.037,PMC000xxxxxx/PMC466969.xml,S1930-0433(23)00951-2,
39022626,PMC466972,100803,10.1016/j.bbih.2024.100803,PMC000xxxxxx/PMC466972.xml,S2666-3546(24)00081-4,
39021399,PMC466973,,10.1016/j.jot.2024.06.011,PMC000xxxxxx/PMC466973.xml,S2214-031X(24)00064-0,
39021608,PMC466974,100794,10.1016/j.crfs.2024.100794,PMC000xxxxxx/PMC466974.xml,S2665-9271(24)00120-5,
39018405,PMC466975,adq7796,10.1126/sciadv.adq7796,PMC000xxxxxx/PMC466975.xml,,
39018399,PMC466977,adj9510,10.1126/sciadv.adj9510,PMC000xxxxxx/PMC466977.xml,,
38631548,PMC466978,,10.1016/j.brs.2024.04.007,PMC000xxxxxx/PMC466978.xml,,NIHMS2004000
,PMC466979,MGR-14-145,10.4103/2045-9912.385945,PMC000xxxxxx/PMC466979.xml,,
,PMC466980,MGR-14-159,10.4103/mgr.mgr_23_23,PMC000xxxxxx/PMC466980.xml,,
,PMC466981,MGR-14-108,10.4103/2045-9912.385938,PMC000xxxxxx/PMC466981.xml,,
,PMC466982,MGR-14-140,10.4103/mgr.MEDGASRES-D-23-00041,PMC000xxxxxx/PMC466982.xml,,
,PMC466983,MGR-14-102,10.4103/2045-9912.385947,PMC000xxxxxx/PMC466983.xml,,
,PMC466984,MGR-14-133,10.4103/2045-9912.385948,PMC000xxxxxx/PMC466984.xml,,
,PMC466985,MGR-14-153,10.4103/2045-9912.385940,PMC000xxxxxx/PMC466985.xml,,
,PMC466986,MGR-14-130,10.4103/mgr.MEDGASRES-D-23-00028,PMC000xxxxxx/PMC466986.xml,,
,PMC466987,MGR-14-127,10.4103/mgr.MEDGASRES-D-23-00046,PMC000xxxxxx/PMC466987.xml,,
,PMC466988,MGR-14-151,10.4103/2045-9912.390250,PMC000xxxxxx/PMC466988.xml,,
,PMC466989,MGR-14-115,10.4103/2045-9912.385942,PMC000xxxxxx/PMC466989.xml,,
,PMC466990,MGR-14-142,10.4103/2045-9912.385941,PMC000xxxxxx/PMC466990.xml,,
,PMC466991,MGR-14-136,10.4103/2045-9912.390251,PMC000xxxxxx/PMC466991.xml,,
,PMC466992,MGR-14-89,10.4103/2045-9912.385949,PMC000xxxxxx/PMC466992.xml,,
,PMC466993,MGR-14-149,10.4103/2045-9912.390249,PMC000xxxxxx/PMC466993.xml,,
,PMC466994,MGR-14-121,10.4103/2045-9912.385944,PMC000xxxxxx/PMC466994.xml,,
,PMC466995,MGR-14-96,10.4103/2045-9912.385946,PMC000xxxxxx/PMC466995.xml,,
,PMC466996,MGR-14-156,10.4103/2045-9912.388755,PMC000xxxxxx/PMC466996.xml,,
38324631,PMC467003,IJO-72-459,10.4103/IJO.IJO_648_23,PMC000xxxxxx/PMC467003.xml,,
38454858,PMC467004,IJO-72-488,10.4103/IJO.IJO_2502_23,PMC000xxxxxx/PMC467004.xml,,
38648458,PMC467005,IJO-72-501,10.4103/IJO.IJO_2579_23,PMC000xxxxxx/PMC467005.xml,,
38648454,PMC467006,IJO-72-468,10.4103/IJO.IJO_2829_23,PMC000xxxxxx/PMC467006.xml,,
38648452,PMC467007,IJO-72-354,10.4103/IJO.IJO_3043_23,PMC000xxxxxx/PMC467007.xml,,
38648463,PMC467008,IJO-72-536b,10.4103/IJO.IJO_905_23,PMC000xxxxxx/PMC467008.xml,,
38661263,PMC467009,IJO-72-529,10.4103/IJO.IJO_2644_23,PMC000xxxxxx/PMC467009.xml,,
38648450,PMC467010,IJO-72-333,10.4103/IJO.IJO_863_24,PMC000xxxxxx/PMC467010.xml,,
38648460,PMC467011,IJO-72-509,10.4103/IJO.IJO_3141_23,PMC000xxxxxx/PMC467011.xml,,
38389261,PMC467012,IJO-72-404,10.4103/IJO.IJO_772_23,PMC000xxxxxx/PMC467012.xml,,
38099358,PMC467013,IJO-72-398,10.4103/IJO.IJO_907_23,PMC000xxxxxx/PMC467013.xml,,
38648462,PMC467014,IJO-72-536,10.4103/IJO.IJO_2478_23,PMC000xxxxxx/PMC467014.xml,,
38454860,PMC467015,IJO-72-435,10.4103/IJO.IJO_1970_23,PMC000xxxxxx/PMC467015.xml,,
38389252,PMC467016,IJO-72-335,10.4103/IJO.IJO_3204_23,PMC000xxxxxx/PMC467016.xml,,
38324633,PMC467017,IJO-72-448,10.4103/IJO.IJO_2148_23,PMC000xxxxxx/PMC467017.xml,,
38324629,PMC467018,IJO-72-415,10.4103/IJO.IJO_1534_23,PMC000xxxxxx/PMC467018.xml,,
38648451,PMC467019,IJO-72-345,10.4103/IJO.IJO_1322_23,PMC000xxxxxx/PMC467019.xml,,
38648455,PMC467020,IJO-72-473,10.4103/IJO.IJO_2196_23,PMC000xxxxxx/PMC467020.xml,,
38648453,PMC467021,IJO-72-453,10.4103/IJO.IJO_2310_23,PMC000xxxxxx/PMC467021.xml,,
38454847,PMC467022,IJO-72-372,10.4103/IJO.IJO_2268_23,PMC000xxxxxx/PMC467022.xml,,
38648459,PMC467023,IJO-72-505,10.4103/IJO.IJO_3039_23,PMC000xxxxxx/PMC467023.xml,,
38317322,PMC467024,IJO-72-423,10.4103/IJO.IJO_1938_23,PMC000xxxxxx/PMC467024.xml,,
38317320,PMC467025,IJO-72-521,10.4103/IJO.IJO_2011_23,PMC000xxxxxx/PMC467025.xml,,
38389249,PMC467026,IJO-72-441,10.4103/IJO.IJO_1466_23,PMC000xxxxxx/PMC467026.xml,,
38099372,PMC467027,IJO-72-393,10.4103/IJO.IJO_914_23,PMC000xxxxxx/PMC467027.xml,,
38648456,PMC467028,IJO-72-482,10.4103/IJO.IJO_3333_23,PMC000xxxxxx/PMC467028.xml,,
38317305,PMC467029,IJO-72-409,10.4103/IJO.IJO_1636_23,PMC000xxxxxx/PMC467029.xml,,
38648461,PMC467030,IJO-72-514,10.4103/IJO.IJO_1640_23,PMC000xxxxxx/PMC467030.xml,,
38317304,PMC467031,IJO-72-533,10.4103/IJO.IJO_1385_23,PMC000xxxxxx/PMC467031.xml,,
38648457,PMC467032,IJO-72-495,10.4103/IJO.IJO_2944_23,PMC000xxxxxx/PMC467032.xml,,
38648464,PMC467033,IJO-72-537,10.4103/IJO.IJO_2919_23,PMC000xxxxxx/PMC467033.xml,,
38317330,PMC467034,IJO-72-429,10.4103/IJO.IJO_1787_23,PMC000xxxxxx/PMC467034.xml,,
38454841,PMC467035,IJO-72-381,10.4103/IJO.IJO_2147_23,PMC000xxxxxx/PMC467035.xml,,
,PMC467040,e33424,10.1016/j.heliyon.2024.e33424,PMC000xxxxxx/PMC467040.xml,S2405-8440(24)09455-6,
,PMC467041,e33346,10.1016/j.heliyon.2024.e33346,PMC000xxxxxx/PMC467041.xml,S2405-8440(24)09377-0,
,PMC467043,e33320,10.1016/j.heliyon.2024.e33320,PMC000xxxxxx/PMC467043.xml,S2405-8440(24)09351-4,
,PMC467044,e33323,10.1016/j.heliyon.2024.e33323,PMC000xxxxxx/PMC467044.xml,S2405-8440(24)09354-X,
,PMC467048,e33337,10.1016/j.heliyon.2024.e33337,PMC000xxxxxx/PMC467048.xml,S2405-8440(24)09368-X,
,PMC467049,e33434,10.1016/j.heliyon.2024.e33434,PMC000xxxxxx/PMC467049.xml,S2405-8440(24)09465-9,
,PMC467052,e33362,10.1016/j.heliyon.2024.e33362,PMC000xxxxxx/PMC467052.xml,S2405-8440(24)09393-9,
39021678,PMC467054,100473,10.1016/j.ijchp.2024.100473,PMC000xxxxxx/PMC467054.xml,S1697-2600(24)00038-3,
,PMC467056,e33002,10.1016/j.heliyon.2024.e33002,PMC000xxxxxx/PMC467056.xml,S2405-8440(24)09033-9,
,PMC467057,e33284,10.1016/j.heliyon.2024.e33284,PMC000xxxxxx/PMC467057.xml,S2405-8440(24)09315-0,
,PMC467059,e32939,10.1016/j.heliyon.2024.e32939,PMC000xxxxxx/PMC467059.xml,S2405-8440(24)08970-9,
,PMC467060,e33338,10.1016/j.heliyon.2024.e33338,PMC000xxxxxx/PMC467060.xml,S2405-8440(24)09369-1,
,PMC467063,e33186,10.1016/j.heliyon.2024.e33186,PMC000xxxxxx/PMC467063.xml,S2405-8440(24)09217-X,
39022593,PMC467064,100203,10.1016/j.ijnsa.2024.100203,PMC000xxxxxx/PMC467064.xml,S2666-142X(24)00030-4,
,PMC467065,e33385,10.1016/j.heliyon.2024.e33385,PMC000xxxxxx/PMC467065.xml,S2405-8440(24)09416-7,
39021479,PMC467067,100363,10.1016/j.lansea.2024.100363,PMC000xxxxxx/PMC467067.xml,S2772-3682(24)00013-1,
39021477,PMC467068,100334,10.1016/j.lansea.2023.100334,PMC000xxxxxx/PMC467068.xml,S2772-3682(23)00194-4,
,PMC467071,e32708,10.1016/j.heliyon.2024.e32708,PMC000xxxxxx/PMC467071.xml,S2405-8440(24)08739-5,
38917512,PMC467072,105221,10.1016/j.ebiom.2024.105221,PMC000xxxxxx/PMC467072.xml,S2352-3964(24)00256-1,
39021484,PMC467073,100332,10.1016/j.lansea.2023.100332,PMC000xxxxxx/PMC467073.xml,S2772-3682(23)00192-0,
39021890,PMC467074,100689,10.1016/j.ebr.2024.100689,PMC000xxxxxx/PMC467074.xml,S2589-9864(24)00046-7,
39021478,PMC467075,100342,10.1016/j.lansea.2023.100342,PMC000xxxxxx/PMC467075.xml,S2772-3682(23)00202-0,
39021483,PMC467076,100357,10.1016/j.lansea.2024.100357,PMC000xxxxxx/PMC467076.xml,S2772-3682(24)00007-6,
39022784,PMC467077,101552,10.1016/j.fochx.2024.101552,PMC000xxxxxx/PMC467077.xml,S2590-1575(24)00440-1,
39022614,PMC467078,100534,10.1016/j.ejro.2023.100534,PMC000xxxxxx/PMC467078.xml,S2352-0477(23)00060-6,
39021476,PMC467080,100362,10.1016/j.lansea.2024.100362,PMC000xxxxxx/PMC467080.xml,S2772-3682(24)00012-X,
39022788,PMC467083,101568,10.1016/j.fochx.2024.101568,PMC000xxxxxx/PMC467083.xml,S2590-1575(24)00456-5,
39021609,PMC467084,100796,10.1016/j.crfs.2024.100796,PMC000xxxxxx/PMC467084.xml,S2665-9271(24)00122-9,
39022592,PMC467085,100117,10.1016/j.ijnsa.2023.100117,PMC000xxxxxx/PMC467085.xml,S2666-142X(23)00001-2,
39022598,PMC467086,100123,10.1016/j.tcsw.2024.100123,PMC000xxxxxx/PMC467086.xml,S2468-2330(24)00005-7,
39021507,PMC467087,101437,10.1016/j.gore.2024.101437,PMC000xxxxxx/PMC467087.xml,S2352-5789(24)00116-4,
38946159,PMC467090,2371055,10.1080/0886022X.2024.2371055,PMC000xxxxxx/PMC467090.xml,,
38952279,PMC467091,2369701,10.1080/0886022X.2024.2369701,PMC000xxxxxx/PMC467091.xml,,
38922299,PMC467092,2373305,10.1080/22221751.2024.2373305,PMC000xxxxxx/PMC467092.xml,,
38913598,PMC467095,2367128,10.1080/14756366.2024.2367128,PMC000xxxxxx/PMC467095.xml,,
39011603,PMC467097,2378999,10.1080/0886022X.2024.2378999,PMC000xxxxxx/PMC467097.xml,,
39010743,PMC467098,2379369,10.1080/10717544.2024.2379369,PMC000xxxxxx/PMC467098.xml,,
38922326,PMC467099,2373314,10.1080/22221751.2024.2373314,PMC000xxxxxx/PMC467099.xml,,
39021391,PMC467100,2378967,10.1080/23802359.2024.2378967,PMC000xxxxxx/PMC467100.xml,,
38958248,PMC467101,2368083,10.1080/0886022X.2024.2368083,PMC000xxxxxx/PMC467101.xml,,
39011577,PMC467103,2376331,10.1080/0886022X.2024.2376331,PMC000xxxxxx/PMC467103.xml,,
39007834,PMC467107,TVST-23-6385,10.1167/tvst.13.7.11,PMC000xxxxxx/PMC467107.xml,,
39007833,PMC467108,TVST-24-6609,10.1167/tvst.13.7.12,PMC000xxxxxx/PMC467108.xml,,
38938162,PMC467109,2369695,10.1080/0886022X.2024.2369695,PMC000xxxxxx/PMC467109.xml,,
38938191,PMC467112,2367700,10.1080/0886022X.2024.2367700,PMC000xxxxxx/PMC467112.xml,,
38967189,PMC467113,2373272,10.1080/0886022X.2024.2373272,PMC000xxxxxx/PMC467113.xml,,
39010730,PMC467114,2377870,10.1080/13510002.2024.2377870,PMC000xxxxxx/PMC467114.xml,,
39026600,PMC467527,,10.1016/j.hydroa.2024.100173,PMC000xxxxxx/PMC467527.xml,,EPAPA1969139
