pmid,pmc,publisher-id,doi,File,art-access-id,medline
39937677,PMC12005095,E24-08-0349,10.1091/mbc.E24-08-0349,PMC012xxxxxx/PMC12005095.xml,,
39937680,PMC12005096,E24-12-0571,10.1091/mbc.E24-12-0571,PMC012xxxxxx/PMC12005096.xml,,
40020180,PMC12005097,E24-11-0509,10.1091/mbc.E24-11-0509,PMC012xxxxxx/PMC12005097.xml,,
39969989,PMC12005098,E25-01-0005,10.1091/mbc.E25-01-0005,PMC012xxxxxx/PMC12005098.xml,,
40042941,PMC12005099,E24-08-0382,10.1091/mbc.E24-08-0382,PMC012xxxxxx/PMC12005099.xml,,
39969952,PMC12005100,E24-10-0436,10.1091/mbc.E24-10-0436,PMC012xxxxxx/PMC12005100.xml,,
40020181,PMC12005101,E24-12-0534,10.1091/mbc.E24-12-0534,PMC012xxxxxx/PMC12005101.xml,,
39813077,PMC12005103,E24-08-0354,10.1091/mbc.E24-08-0354,PMC012xxxxxx/PMC12005103.xml,,
40020179,PMC12005104,E24-09-0425,10.1091/mbc.E24-09-0425,PMC012xxxxxx/PMC12005104.xml,,
39908115,PMC12005105,E23-11-0431,10.1091/mbc.E23-11-0431,PMC012xxxxxx/PMC12005105.xml,,
39937672,PMC12005106,E24-12-0557,10.1091/mbc.E24-12-0557,PMC012xxxxxx/PMC12005106.xml,,
39937675,PMC12005107,E24-12-0542,10.1091/mbc.E24-12-0542,PMC012xxxxxx/PMC12005107.xml,,
39937679,PMC12005108,E24-11-0507,10.1091/mbc.E24-11-0507,PMC012xxxxxx/PMC12005108.xml,,
39969973,PMC12005109,E25-02-0055,10.1091/mbc.E25-02-0055,PMC012xxxxxx/PMC12005109.xml,,
39969983,PMC12005110,E24-10-0444,10.1091/mbc.E24-10-0444,PMC012xxxxxx/PMC12005110.xml,,
39937678,PMC12005111,E24-02-0066,10.1091/mbc.E24-02-0066,PMC012xxxxxx/PMC12005111.xml,,
40067152,PMC12005112,E24-10-0475,10.1091/mbc.E24-10-0475,PMC012xxxxxx/PMC12005112.xml,,
39969966,PMC12005113,E24-11-0488,10.1091/mbc.E24-11-0488,PMC012xxxxxx/PMC12005113.xml,,
40042939,PMC12005114,E24-08-0341,10.1091/mbc.E24-08-0341,PMC012xxxxxx/PMC12005114.xml,,
39969968,PMC12005115,E24-12-0535,10.1091/mbc.E24-12-0535,PMC012xxxxxx/PMC12005115.xml,,
40043203,PMC12010932,EHP14534,10.1289/EHP14534,PMC012xxxxxx/PMC12010932.xml,,
40052947,PMC12010933,EHP14784,10.1289/EHP14784,PMC012xxxxxx/PMC12010933.xml,,
40043229,PMC12010934,EHP14447,10.1289/EHP14447,PMC012xxxxxx/PMC12010934.xml,,
40048177,PMC12010935,EHP15203,10.1289/EHP15203,PMC012xxxxxx/PMC12010935.xml,,
40062909,PMC12010936,EHP14723,10.1289/EHP14723,PMC012xxxxxx/PMC12010936.xml,,
40048564,PMC12010937,EHP15435,10.1289/EHP15435,PMC012xxxxxx/PMC12010937.xml,,
40106681,PMC12010948,EHP16028,10.1289/EHP16028,PMC012xxxxxx/PMC12010948.xml,,
40258166,PMC12012583,i250007,10.2337/dbi25-0007,PMC012xxxxxx/PMC12012583.xml,,
40258167,PMC12012584,i240054,10.2337/dbi24-0054,PMC012xxxxxx/PMC12012584.xml,,
39998814,PMC12015136,230273,10.2337/db23-0273,PMC012xxxxxx/PMC12015136.xml,,
39976640,PMC12015141,231025,10.2337/db23-1025,PMC012xxxxxx/PMC12015141.xml,,
39874418,PMC12015143,240375,10.2337/db24-0375,PMC012xxxxxx/PMC12015143.xml,,
39787388,PMC12015146,240824,10.2337/db24-0824,PMC012xxxxxx/PMC12015146.xml,,
39836371,PMC12015147,240385,10.2337/db24-0385,PMC012xxxxxx/PMC12015147.xml,,
40290835,PMC12018994,cd240016,10.2337/cd24-0016,PMC012xxxxxx/PMC12018994.xml,,
40290834,PMC12018997,cd25aint,10.2337/cd25-aint,PMC012xxxxxx/PMC12018997.xml,,
40290813,PMC12019000,cd240082,10.2337/cd24-0082,PMC012xxxxxx/PMC12019000.xml,,
,PMC12019004,cd240071,10.2337/cd24-0071,PMC012xxxxxx/PMC12019004.xml,,
40290832,PMC12019008,cd240061,10.2337/cd24-0061,PMC012xxxxxx/PMC12019008.xml,,
,PMC12019009,cd240064,10.2337/cd24-0064,PMC012xxxxxx/PMC12019009.xml,,
,PMC12019017,cd240052,10.2337/cd24-0052,PMC012xxxxxx/PMC12019017.xml,,
40267041,PMC12020689,CCE-D-24-00569,10.1097/CCE.0000000000001252,PMC012xxxxxx/PMC12020689.xml,00025,
,PMC12022442,cd25a003,10.2337/cd25-a003,PMC012xxxxxx/PMC12022442.xml,,
,PMC12022443,cd25a010,10.2337/cd25-a010,PMC012xxxxxx/PMC12022443.xml,,
,PMC12022444,cd25a008,10.2337/cd25-a008,PMC012xxxxxx/PMC12022444.xml,,
,PMC12022445,cd25a016a,10.2337/cd25-a016,PMC012xxxxxx/PMC12022445.xml,,
,PMC12022446,cd25a006,10.2337/cd25-a006,PMC012xxxxxx/PMC12022446.xml,,
,PMC12022447,cd25a005,10.2337/cd25-a005,PMC012xxxxxx/PMC12022447.xml,,
,PMC12022448,cd25a009,10.2337/cd25-a009,PMC012xxxxxx/PMC12022448.xml,,
,PMC12022449,cd25a002,10.2337/cd25-a002,PMC012xxxxxx/PMC12022449.xml,,
,PMC12022450,cd25a012,10.2337/cd25-a012,PMC012xxxxxx/PMC12022450.xml,,
,PMC12022451,cd25a013a,10.2337/cd25-a013,PMC012xxxxxx/PMC12022451.xml,,
,PMC12022452,cd25a011,10.2337/cd25-a011,PMC012xxxxxx/PMC12022452.xml,,
,PMC12022453,cd25a014,10.2337/cd25-a014,PMC012xxxxxx/PMC12022453.xml,,
,PMC12022454,cd25a004,10.2337/cd25-a004,PMC012xxxxxx/PMC12022454.xml,,
,PMC12022455,cd25a001,10.2337/cd25-a001,PMC012xxxxxx/PMC12022455.xml,,
,PMC12022456,cd25a015,10.2337/cd25-a015,PMC012xxxxxx/PMC12022456.xml,,
,PMC12022458,cd25a007,10.2337/cd25-a007,PMC012xxxxxx/PMC12022458.xml,,
40063715,PMC12034892,dc242373,10.2337/dc24-2373,PMC012xxxxxx/PMC12034892.xml,,
40100982,PMC12034897,dc242790,10.2337/dc24-2790,PMC012xxxxxx/PMC12034897.xml,,
40163517,PMC12034902,dc242748,10.2337/dc24-2748,PMC012xxxxxx/PMC12034902.xml,,
40116796,PMC12034903,dc240104,10.2337/dci24-0104,PMC012xxxxxx/PMC12034903.xml,,
39932813,PMC12034904,dc242188,10.2337/dc24-2188,PMC012xxxxxx/PMC12034904.xml,,
40009551,PMC12034905,dc250076,10.2337/dc25-0076,PMC012xxxxxx/PMC12034905.xml,,
39899467,PMC12034906,dc242039,10.2337/dc24-2039,PMC012xxxxxx/PMC12034906.xml,,
40085793,PMC12036664,EHP17324,10.1289/EHP17324,PMC012xxxxxx/PMC12036664.xml,,
40085763,PMC12036665,EHP17398,10.1289/EHP17398,PMC012xxxxxx/PMC12036665.xml,,
40085795,PMC12036667,EHP17149,10.1289/EHP17149,PMC012xxxxxx/PMC12036667.xml,,
40063901,PMC12036668,EHP15218,10.1289/EHP15218,PMC012xxxxxx/PMC12036668.xml,,
40111267,PMC12036670,EHP14550,10.1289/EHP14550,PMC012xxxxxx/PMC12036670.xml,,
40042987,PMC12036699,EHP15100,10.1289/EHP15100,PMC012xxxxxx/PMC12036699.xml,,
39716885,PMC12040747,,10.3724/abbs.2024207,PMC012xxxxxx/PMC12040747.xml,,
40138323,PMC12042270,EHP14714,10.1289/EHP14714,PMC012xxxxxx/PMC12042270.xml,,
,PMC12047706,554663,10.1364/BOE.554663,PMC012xxxxxx/PMC12047706.xml,,
,PMC12047707,551057,10.1364/BOE.551057,PMC012xxxxxx/PMC12047707.xml,,
,PMC12047708,554000,10.1364/BOE.554000,PMC012xxxxxx/PMC12047708.xml,,
,PMC12047709,554860,10.1364/BOE.554860,PMC012xxxxxx/PMC12047709.xml,,
,PMC12047710,542599,10.1364/BOE.542599,PMC012xxxxxx/PMC12047710.xml,,
,PMC12047711,547391,10.1364/BOE.547391,PMC012xxxxxx/PMC12047711.xml,,
,PMC12047713,555473,10.1364/BOE.555473,PMC012xxxxxx/PMC12047713.xml,,
,PMC12047714,549671,10.1364/BOE.549671,PMC012xxxxxx/PMC12047714.xml,,
,PMC12047715,551733,10.1364/BOE.551733,PMC012xxxxxx/PMC12047715.xml,,
,PMC12047718,557745,10.1364/BOE.557745,PMC012xxxxxx/PMC12047718.xml,,
,PMC12047719,561537,10.1364/BOE.561537,PMC012xxxxxx/PMC12047719.xml,,
,PMC12047721,557290,10.1364/BOE.557290,PMC012xxxxxx/PMC12047721.xml,,
,PMC12047722,557218,10.1364/BOE.557218,PMC012xxxxxx/PMC12047722.xml,,
,PMC12047723,551186,10.1364/BOE.551186,PMC012xxxxxx/PMC12047723.xml,,
,PMC12047724,557748,10.1364/BOE.557748,PMC012xxxxxx/PMC12047724.xml,,
,PMC12047725,555270,10.1364/BOE.555270,PMC012xxxxxx/PMC12047725.xml,,
,PMC12047726,553567,10.1364/BOE.553567,PMC012xxxxxx/PMC12047726.xml,,
,PMC12047727,558675,10.1364/BOE.558675,PMC012xxxxxx/PMC12047727.xml,,
,PMC12047728,546942,10.1364/BOE.546942,PMC012xxxxxx/PMC12047728.xml,,
,PMC12047730,554409,10.1364/BOE.554409,PMC012xxxxxx/PMC12047730.xml,,
,PMC12047731,557984,10.1364/BOE.557984,PMC012xxxxxx/PMC12047731.xml,,
,PMC12047732,559576,10.1364/BOE.559576,PMC012xxxxxx/PMC12047732.xml,,
,PMC12047733,555541,10.1364/BOE.555541,PMC012xxxxxx/PMC12047733.xml,,
,PMC12047734,549311,10.1364/BOE.549311,PMC012xxxxxx/PMC12047734.xml,,
,PMC12047735,560563,10.1364/BOE.560563,PMC012xxxxxx/PMC12047735.xml,,
,PMC12047736,549290,10.1364/BOE.549290,PMC012xxxxxx/PMC12047736.xml,,
,PMC12047737,557086,10.1364/BOE.557086,PMC012xxxxxx/PMC12047737.xml,,
40117538,PMC12052077,EHP15788,10.1289/EHP15788,PMC012xxxxxx/PMC12052077.xml,,
40131185,PMC12052081,EHP14525,10.1289/EHP14525,PMC012xxxxxx/PMC12052081.xml,,
40126888,PMC12052082,EHP14478,10.1289/EHP14478,PMC012xxxxxx/PMC12052082.xml,,
40099986,PMC12054166,spectrum.01705-24,10.1128/spectrum.01705-24,PMC012xxxxxx/PMC12054166.xml,,
40127300,PMC12061051,EHP14696,10.1289/EHP14696,PMC012xxxxxx/PMC12061051.xml,,
,PMC12061229,JHP1049,10.1289/JHP1049,PMC012xxxxxx/PMC12061229.xml,,
,PMC12061230,JHP1053,10.1289/JHP1053,PMC012xxxxxx/PMC12061230.xml,,
,PMC12061231,JHP1375,10.1289/JHP1375,PMC012xxxxxx/PMC12061231.xml,,
,PMC12061232,JHP1095,10.1289/JHP1095,PMC012xxxxxx/PMC12061232.xml,,
,PMC12061257,JHP1007,10.1289/JHP1007,PMC012xxxxxx/PMC12061257.xml,,
,PMC12061258,JHP1030,10.1289/JHP1030,PMC012xxxxxx/PMC12061258.xml,,
,PMC12061259,JHP1043,10.1289/JHP1043,PMC012xxxxxx/PMC12061259.xml,,
,PMC12061260,JHP1090,10.1289/JHP1090,PMC012xxxxxx/PMC12061260.xml,,
,PMC12061261,JHP1003,10.1289/JHP1003,PMC012xxxxxx/PMC12061261.xml,,
,PMC12061262,JHP1072,10.1289/JHP1072,PMC012xxxxxx/PMC12061262.xml,,
,PMC12061263,JHP1040,10.1289/JHP1040,PMC012xxxxxx/PMC12061263.xml,,
,PMC12061264,JHP1033,10.1289/JHP1033,PMC012xxxxxx/PMC12061264.xml,,
40163383,PMC12063792,EHP14945,10.1289/EHP14945,PMC012xxxxxx/PMC12063792.xml,,
40145898,PMC12063793,EHP14942,10.1289/EHP14942,PMC012xxxxxx/PMC12063793.xml,,
40152882,PMC12063794,EHP15394,10.1289/EHP15394,PMC012xxxxxx/PMC12063794.xml,,
40152856,PMC12068507,EHP15465,10.1289/EHP15465,PMC012xxxxxx/PMC12068507.xml,,
40138633,PMC12068508,EHP14873,10.1289/EHP14873,PMC012xxxxxx/PMC12068508.xml,,
40370528,PMC12077550,EE-D-24-00124,10.1097/EE9.0000000000000382,PMC012xxxxxx/PMC12077550.xml,00013,
40163373,PMC12077660,EHP15547,10.1289/EHP15547,PMC012xxxxxx/PMC12077660.xml,,
40203079,PMC12077661,EHP17057,10.1289/EHP17057,PMC012xxxxxx/PMC12077661.xml,,
,PMC12078992,DS240043,10.2337/ds24-0043,PMC012xxxxxx/PMC12078992.xml,,
,PMC12078995,DS240032,10.2337/ds24-0032,PMC012xxxxxx/PMC12078995.xml,,
40315346,PMC12080722,EHP17821,10.1289/EHP17821,PMC012xxxxxx/PMC12080722.xml,,
40179323,PMC12083775,EHP15221,10.1289/EHP15221,PMC012xxxxxx/PMC12083775.xml,,
40198848,PMC12083776,EHP15995,10.1289/EHP15995,PMC012xxxxxx/PMC12083776.xml,,
40310699,PMC12083777,EHP14463,10.1289/EHP14463,PMC012xxxxxx/PMC12083777.xml,,
40379455,PMC12084878,RA,10.1261/rna.080473.125,PMC012xxxxxx/PMC12084878.xml,,9509184
40267362,PMC12094190,dc250142,10.2337/dc25-0142,PMC012xxxxxx/PMC12094190.xml,,
40279144,PMC12094194,dc242425,10.2337/dc24-2425,PMC012xxxxxx/PMC12094194.xml,,
40392993,PMC12094200,dc242241,10.2337/dc24-2241,PMC012xxxxxx/PMC12094200.xml,,
40245107,PMC12094206,dc250059,10.2337/dc25-0059,PMC012xxxxxx/PMC12094206.xml,,
40214701,PMC12094208,dc250160,10.2337/dc25-0160,PMC012xxxxxx/PMC12094208.xml,,
40392984,PMC12097453,i240047,10.2337/dbi24-0047,PMC012xxxxxx/PMC12097453.xml,,
40080393,PMC12097457,240510,10.2337/db24-0510,PMC012xxxxxx/PMC12097457.xml,,
40095004,PMC12097458,240958,10.2337/db24-0958,PMC012xxxxxx/PMC12097458.xml,,
40019860,PMC12097462,240403,10.2337/db24-0403,PMC012xxxxxx/PMC12097462.xml,,
40233256,PMC12097531,EHP15105,10.1289/EHP15105,PMC012xxxxxx/PMC12097531.xml,,
40168621,PMC12097532,EHP15566,10.1289/EHP15566,PMC012xxxxxx/PMC12097532.xml,,
40117576,PMC12097533,EHP15117,10.1289/EHP15117,PMC012xxxxxx/PMC12097533.xml,,
40193182,PMC12097534,EHP14014,10.1289/EHP14014,PMC012xxxxxx/PMC12097534.xml,,
40233199,PMC12097535,EHP15039,10.1289/EHP15039,PMC012xxxxxx/PMC12097535.xml,,
40239124,PMC12101570,EHP15824,10.1289/EHP15824,PMC012xxxxxx/PMC12101570.xml,,
40305004,PMC12101571,EHP15209,10.1289/EHP15209,PMC012xxxxxx/PMC12101571.xml,,
40245380,PMC12101572,EHP15170,10.1289/EHP15170,PMC012xxxxxx/PMC12101572.xml,,
40266912,PMC12101573,EHP14984,10.1289/EHP14984,PMC012xxxxxx/PMC12101573.xml,,
40233281,PMC12110909,EHP14801,10.1289/EHP14801,PMC012xxxxxx/PMC12110909.xml,,
40273424,PMC12110910,EHP15660,10.1289/EHP15660,PMC012xxxxxx/PMC12110910.xml,,
40300153,PMC12110914,EHP15095,10.1289/EHP15095,PMC012xxxxxx/PMC12110914.xml,,
40261974,PMC12110917,EHP15457,10.1289/EHP15457,PMC012xxxxxx/PMC12110917.xml,,
40207990,PMC12118356,EHP15648,10.1289/EHP15648,PMC012xxxxxx/PMC12118356.xml,,
40305737,PMC12120841,EHP16272,10.1289/EHP16272,PMC012xxxxxx/PMC12120841.xml,,
40194260,PMC12120842,EHP14876,10.1289/EHP14876,PMC012xxxxxx/PMC12120842.xml,,
40279270,PMC12121719,EHP17203,10.1289/EHP17203,PMC012xxxxxx/PMC12121719.xml,,
40163801,PMC12121720,EHP14677,10.1289/EHP14677,PMC012xxxxxx/PMC12121720.xml,,
40305654,PMC12121721,EHP15006,10.1289/EHP15006,PMC012xxxxxx/PMC12121721.xml,,
40209106,PMC12121722,EHP14849,10.1289/EHP14849,PMC012xxxxxx/PMC12121722.xml,,
,PMC12128866,,10.1101/gad.352856.125,PMC012xxxxxx/PMC12128866.xml,,8711660
40456593,PMC12128867,,10.1101/gad.352836.125,PMC012xxxxxx/PMC12128867.xml,,8711660
40257857,PMC12129303,EHP15852,10.1289/EHP15852,PMC012xxxxxx/PMC12129303.xml,,
40267339,PMC12129304,EHP15564,10.1289/EHP15564,PMC012xxxxxx/PMC12129304.xml,,
40168471,PMC12129305,EHP14793,10.1289/EHP14793,PMC012xxxxxx/PMC12129305.xml,,
40262115,PMC12142652,EHP16569,10.1289/EHP16569,PMC012xxxxxx/PMC12142652.xml,,
40354572,PMC12142655,EHP15500,10.1289/EHP15500,PMC012xxxxxx/PMC12142655.xml,,
40326889,PMC12143488,EHP15942,10.1289/EHP15942,PMC012xxxxxx/PMC12143488.xml,,
40249596,PMC12143489,EHP15539,10.1289/EHP15539,PMC012xxxxxx/PMC12143489.xml,,
40310753,PMC12151321,EHP15238,10.1289/EHP15238,PMC012xxxxxx/PMC12151321.xml,,
40237568,PMC12156197,EHP14458,10.1289/EHP14458,PMC012xxxxxx/PMC12156197.xml,,
40324008,PMC12156208,EHP15672,10.1289/EHP15672,PMC012xxxxxx/PMC12156208.xml,,
40298417,PMC12160461,mra.00275-25,10.1128/mra.00275-25,PMC012xxxxxx/PMC12160461.xml,,
40293276,PMC12160518,mra.01281-24,10.1128/mra.01281-24,PMC012xxxxxx/PMC12160518.xml,,
40324144,PMC12161453,EHP15573,10.1289/EHP15573,PMC012xxxxxx/PMC12161453.xml,,
40314697,PMC12161454,EHP15673,10.1289/EHP15673,PMC012xxxxxx/PMC12161454.xml,,
40293296,PMC12161457,EHP15012,10.1289/EHP15012,PMC012xxxxxx/PMC12161457.xml,,
40366647,PMC12165737,EHP16024,10.1289/EHP16024,PMC012xxxxxx/PMC12165737.xml,,
40359307,PMC12165738,EHP15010,10.1289/EHP15010,PMC012xxxxxx/PMC12165738.xml,,
40359302,PMC12165739,EHP15574,10.1289/EHP15574,PMC012xxxxxx/PMC12165739.xml,,
,PMC12168589,SMSC12733,10.1002/smsc.202500197,PMC012xxxxxx/PMC12168589.xml,,
40333434,PMC12169509,EHP15827,10.1289/EHP15827,PMC012xxxxxx/PMC12169509.xml,,
40315424,PMC12169510,EHP15503,10.1289/EHP15503,PMC012xxxxxx/PMC12169510.xml,,
,PMC12170188,RA,10.1261/rna.080521.125,PMC012xxxxxx/PMC12170188.xml,,9509184
,PMC12173161,EHP17959,10.1289/EHP17959,PMC012xxxxxx/PMC12173161.xml,,
40372422,PMC12176095,EHP15534,10.1289/EHP15534,PMC012xxxxxx/PMC12176095.xml,,
40338266,PMC12176096,EHP15034,10.1289/EHP15034,PMC012xxxxxx/PMC12176096.xml,,
40334213,PMC12176097,EHP15422,10.1289/EHP15422,PMC012xxxxxx/PMC12176097.xml,,
40392783,PMC12178341,EHP15305,10.1289/EHP15305,PMC012xxxxxx/PMC12178341.xml,,
,PMC12178608,250566,10.2337/dc25-0566,PMC012xxxxxx/PMC12178608.xml,,
40272268,PMC12178609,i250033,10.2337/dci25-0033,PMC012xxxxxx/PMC12178609.xml,,
40272276,PMC12178610,i250044,10.2337/dci25-0044,PMC012xxxxxx/PMC12178610.xml,,
40198142,PMC12178612,250129,10.2337/dc25-0129,PMC012xxxxxx/PMC12178612.xml,,
39965054,PMC12178616,241902,10.2337/dc24-1902,PMC012xxxxxx/PMC12178616.xml,,
40272284,PMC12178618,242908,10.2337/dc24-2908,PMC012xxxxxx/PMC12178618.xml,,
40272271,PMC12178619,242885,10.2337/dc24-2885,PMC012xxxxxx/PMC12178619.xml,,
39565893,PMC12178621,241110,10.2337/dc24-1110,PMC012xxxxxx/PMC12178621.xml,,
40272279,PMC12178622,250014,10.2337/dc25-0014,PMC012xxxxxx/PMC12178622.xml,,
40272272,PMC12178623,242886,10.2337/dc24-2886,PMC012xxxxxx/PMC12178623.xml,,
40272281,PMC12178624,250001,10.2337/dc25-0001,PMC012xxxxxx/PMC12178624.xml,,
40445117,PMC12178626,250300,10.2337/dc25-0300,PMC012xxxxxx/PMC12178626.xml,,
40344599,PMC12180445,EHP15418,10.1289/EHP15418,PMC012xxxxxx/PMC12180445.xml,,
40344151,PMC12184414,EHP15059,10.1289/EHP15059,PMC012xxxxxx/PMC12184414.xml,,
40272256,PMC12185955,250039,10.2337/db25-0039,PMC012xxxxxx/PMC12185955.xml,,
40272260,PMC12185957,i250019,10.2337/dbi25-0019,PMC012xxxxxx/PMC12185957.xml,,
40272266,PMC12185959,250037,10.2337/db25-0037,PMC012xxxxxx/PMC12185959.xml,,
40173211,PMC12185960,241000,10.2337/db24-1000,PMC012xxxxxx/PMC12185960.xml,,
40272280,PMC12185961,i250023,10.2337/dbi25-0023,PMC012xxxxxx/PMC12185961.xml,,
40197830,PMC12185965,i240041,10.2337/dbi24-0041,PMC012xxxxxx/PMC12185965.xml,,
40272257,PMC12185966,250042,10.2337/db25-0042,PMC012xxxxxx/PMC12185966.xml,,
40272263,PMC12185967,250097,10.2337/db25-0097,PMC012xxxxxx/PMC12185967.xml,,
40272846,PMC12185968,241103,10.2337/db24-1103,PMC012xxxxxx/PMC12185968.xml,,
40063503,PMC12185969,240762,10.2337/db24-0762,PMC012xxxxxx/PMC12185969.xml,,
40202504,PMC12185971,240720,10.2337/db24-0720,PMC012xxxxxx/PMC12185971.xml,,
40272262,PMC12185973,250017,10.2337/db25-0017,PMC012xxxxxx/PMC12185973.xml,,
,PMC12187078,EHP17963,10.1289/EHP17963,PMC012xxxxxx/PMC12187078.xml,,
